128.223.223.135 - - [23/Jul/2018:20:13:35 +0000] "GET /test.html HTTP/1.1" 200 448 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
10.0.3.29 - - [23/Jul/2018:20:13:50 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.222 - - [23/Jul/2018:20:13:51 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.29 - - [23/Jul/2018:20:14:20 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.222 - - [23/Jul/2018:20:14:21 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.29 - - [23/Jul/2018:20:14:50 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.222 - - [23/Jul/2018:20:14:51 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.29 - - [23/Jul/2018:20:15:20 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.222 - - [23/Jul/2018:20:15:21 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.29 - - [23/Jul/2018:20:15:50 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
10.0.3.222 - - [23/Jul/2018:20:15:51 +0000] "GET /index.html HTTP/1.1" 200 11632 "-" "ELB-HealthChecker/1.0"
